"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,5888,"; matmul_f16_8x13312x16384_dispatch_0_matmul_like_8x13312x16384_f16xf16xf32",0,0,0,0,""
2,5888,"s_load_dwordx2 s[2:3], s[0:1], 0x0",0,0,0,0,""
2,5896,"s_load_dwordx4 s[4:7], s[0:1], 0x8",0,0,0,0,""
2,5904,"s_waitcnt lgkmcnt(0)",0,0,0,0,""
2,5908,"s_branch 58",0,0,0,0,""
2,5912,"s_nop 0",0,0,0,0,""
2,5916,"s_nop 0",0,0,0,0,""
2,5920,"s_nop 0",0,0,0,0,""
2,5924,"s_nop 0",0,0,0,0,""
2,5928,"s_nop 0",0,0,0,0,""
2,5932,"s_nop 0",0,0,0,0,""
2,5936,"s_nop 0",0,0,0,0,""
2,5940,"s_nop 0",0,0,0,0,""
2,5944,"s_nop 0",0,0,0,0,""
2,5948,"s_nop 0",0,0,0,0,""
2,5952,"s_nop 0",0,0,0,0,""
2,5956,"s_nop 0",0,0,0,0,""
2,5960,"s_nop 0",0,0,0,0,""
2,5964,"s_nop 0",0,0,0,0,""
2,5968,"s_nop 0",0,0,0,0,""
2,5972,"s_nop 0",0,0,0,0,""
2,5976,"s_nop 0",0,0,0,0,""
2,5980,"s_nop 0",0,0,0,0,""
2,5984,"s_nop 0",0,0,0,0,""
2,5988,"s_nop 0",0,0,0,0,""
2,5992,"s_nop 0",0,0,0,0,""
2,5996,"s_nop 0",0,0,0,0,""
2,6000,"s_nop 0",0,0,0,0,""
2,6004,"s_nop 0",0,0,0,0,""
2,6008,"s_nop 0",0,0,0,0,""
2,6012,"s_nop 0",0,0,0,0,""
2,6016,"s_nop 0",0,0,0,0,""
2,6020,"s_nop 0",0,0,0,0,""
2,6024,"s_nop 0",0,0,0,0,""
2,6028,"s_nop 0",0,0,0,0,""
2,6032,"s_nop 0",0,0,0,0,""
2,6036,"s_nop 0",0,0,0,0,""
2,6040,"s_nop 0",0,0,0,0,""
2,6044,"s_nop 0",0,0,0,0,""
2,6048,"s_nop 0",0,0,0,0,""
2,6052,"s_nop 0",0,0,0,0,""
2,6056,"s_nop 0",0,0,0,0,""
2,6060,"s_nop 0",0,0,0,0,""
2,6064,"s_nop 0",0,0,0,0,""
2,6068,"s_nop 0",0,0,0,0,""
2,6072,"s_nop 0",0,0,0,0,""
2,6076,"s_nop 0",0,0,0,0,""
2,6080,"s_nop 0",0,0,0,0,""
2,6084,"s_nop 0",0,0,0,0,""
2,6088,"s_nop 0",0,0,0,0,""
2,6092,"s_nop 0",0,0,0,0,""
2,6096,"s_nop 0",0,0,0,0,""
2,6100,"s_nop 0",0,0,0,0,""
2,6104,"s_nop 0",0,0,0,0,""
2,6108,"s_nop 0",0,0,0,0,""
2,6112,"s_nop 0",0,0,0,0,""
2,6116,"s_nop 0",0,0,0,0,""
2,6120,"s_nop 0",0,0,0,0,""
2,6124,"s_nop 0",0,0,0,0,""
2,6128,"s_nop 0",0,0,0,0,""
2,6132,"s_nop 0",0,0,0,0,""
2,6136,"s_nop 0",0,0,0,0,""
2,6140,"s_nop 0",0,0,0,0,""
2,6144,"v_lshlrev_b32_e32 v1, 3, v0",2,8,0,1276,""
2,6148,"v_lshrrev_b32_e32 v3, 4, v0",2,8,0,0,""
2,6152,"v_and_b32_e32 v8, 0x78, v1",2,8,0,0,""
2,6160,"s_mov_b64 s[12:13], s[2:3]",2,8,0,0,""
2,6164,"v_lshlrev_b32_e32 v9, 1, v8",2,8,0,0,""
2,6168,"v_lshlrev_b32_e32 v12, 15, v3",2,8,0,0,""
2,6172,"s_mov_b32 s15, 0x27000",2,8,0,0,""
2,6180,"s_mov_b32 s14, 0x40000",2,8,0,0,""
2,6188,"s_and_b32 s13, s13, 0xffff",2,8,0,0,""
2,6196,"v_or_b32_e32 v1, v9, v12",2,8,0,0,""
2,6200,"s_lshl_b32 s8, s8, 6",2,8,0,0,""
2,6204,"buffer_load_dwordx4 v[4:7], v1, s[12:15], 0 offen",2,28,20,8,""
2,6212,"v_or_b32_e32 v1, s8, v3",2,8,0,0,""
2,6216,"v_lshlrev_b32_e32 v11, 15, v1",2,8,0,0,""
2,6220,"s_mov_b32 s3, 0x1a000000",2,8,0,0,""
2,6228,"v_or_b32_e32 v1, v11, v9",2,8,0,0,""
2,6232,"s_mov_b64 s[0:1], s[6:7]",2,8,0,0,""
2,6236,"s_and_b32 s5, s5, 0xffff",2,8,0,0,""
2,6244,"s_mov_b32 s6, s3",2,8,0,0,""
2,6248,"s_mov_b32 s7, s15",2,8,0,0,""
2,6252,"v_or_b32_e32 v2, 0x40000, v1",2,8,0,0,""
2,6260,"buffer_load_dwordx4 v[28:31], v1, s[4:7], 0 offen",2,12,4,16,""
2,6268,"buffer_load_dwordx4 v[32:35], v2, s[4:7], 0 offen",2,8,0,0,""
2,6276,"v_or_b32_e32 v2, 0x80000, v1",2,8,0,0,""
2,6284,"v_or_b32_e32 v10, 0xc0000, v1",2,8,0,0,""
2,6292,"buffer_load_dwordx4 v[36:39], v2, s[4:7], 0 offen",2,8,0,16,""
2,6300,"buffer_load_dwordx4 v[40:43], v10, s[4:7], 0 offen",2,8,0,0,""
2,6308,"v_or_b32_e32 v2, 0x100000, v1",2,8,0,0,""
2,6316,"v_or_b32_e32 v10, 0x140000, v1",2,12,0,0,""
2,6324,"buffer_load_dwordx4 v[44:47], v2, s[4:7], 0 offen",2,8,0,12,""
2,6332,"buffer_load_dwordx4 v[48:51], v10, s[4:7], 0 offen",2,8,0,0,""
2,6340,"v_or_b32_e32 v2, 0x180000, v1",2,8,0,0,""
2,6348,"v_or_b32_e32 v1, 0x1c0000, v1",2,8,0,0,""
2,6356,"buffer_load_dwordx4 v[52:55], v2, s[4:7], 0 offen",2,1312,1300,16,""
2,6364,"buffer_load_dwordx4 v[56:59], v1, s[4:7], 0 offen",2,28,20,0,""
2,6372,"v_and_b32_e32 v14, 15, v0",2,8,0,0,""
2,6376,"v_and_b32_e32 v16, 1, v0",2,8,0,0,""
2,6380,"v_lshrrev_b32_e32 v17, 1, v0",2,8,0,0,""
2,6384,"v_mov_b32_e32 v10, 0xee",2,8,0,0,""
2,6392,"v_mov_b32_e32 v13, 0x44",2,8,0,0,""
2,6400,"v_bfe_u32 v1, v0, 4, 2",2,8,0,0,""
2,6408,"v_bfe_u32 v15, v0, 1, 3",2,8,0,0,""
2,6416,"v_lshlrev_b32_e32 v18, 4, v0",2,8,0,0,""
2,6420,"v_or_b32_e32 v19, 8, v3",2,8,0,0,""
2,6424,"v_cmp_eq_u32_e32 vcc, 0, v16",2,8,0,0,""
2,6428,"v_mul_u32_u24_e32 v3, 0x84, v3",2,8,0,0,""
2,6436,"v_and_or_b32 v0, v17, 32, v14",2,8,0,0,""
2,6444,"s_movk_i32 s7, 0x108",2,8,0,16,""
2,6448,"v_cndmask_b32_e32 v10, v10, v13, vcc",2,8,0,0,""
2,6452,"v_mul_u32_u24_e32 v13, 0x84, v15",2,8,0,0,""
2,6460,"v_lshlrev_b32_e32 v20, 5, v1",2,8,0,0,""
2,6464,"v_add_lshl_u32 v15, v3, v8, 1",2,8,0,0,""
2,6472,"v_mul_u32_u24_e32 v21, 0x84, v0",2,8,0,0,""
2,6480,"s_movk_i32 s6, 0x4200",2,8,0,0,""
2,6484,"v_mov_b32_e32 v2, 0",2,8,0,0,""
2,6488,"v_and_or_b32 v3, v18, 16, v20",2,8,0,0,""
2,6496,"v_lshlrev_b32_e32 v8, 1, v13",2,8,0,0,""
2,6500,"v_or_b32_e32 v16, 0x100, v12",2,8,0,0,""
2,6508,"v_add_u32_e32 v17, 0x4200, v15",2,8,0,0,""
2,6516,"v_mad_u32_u24 v18, v19, s7, v9",2,8,0,0,""
2,6524,"v_lshl_add_u32 v12, v21, 1, v20",2,8,0,0,""
2,6532,"s_mov_b32 s2, -2",2,8,0,0,""
2,6536,"v_lshlrev_b32_e32 v14, 4, v14",2,8,0,0,""
2,6540,"v_add3_u32 v13, v8, v3, s6",2,8,0,0,""
2,6548,"v_add_u32_e32 v19, 0x840, v18",2,8,0,0,""
2,6556,"v_add_u32_e32 v20, 0x1080, v18",2,8,0,0,""
2,6564,"v_add_u32_e32 v21, 0x18c0, v18",2,8,0,0,""
2,6572,"v_add_u32_e32 v22, 0x2100, v18",2,8,0,0,""
2,6580,"v_add_u32_e32 v23, 0x2940, v18",2,8,0,0,""
2,6588,"v_add_u32_e32 v24, 0x3180, v18",2,8,0,8,""
2,6596,"v_add_u32_e32 v25, 0x1080, v12",2,8,0,0,""
2,6604,"v_add_u32_e32 v26, 0x1090, v12",2,8,0,0,""
2,6612,"s_mov_b32 s6, s3",2,8,0,0,""
2,6616,"s_mov_b32 s7, s15",2,8,0,0,""
2,6620,"v_add_u32_e32 v27, 0x1100, v12",2,8,0,0,""
2,6628,"v_mov_b32_e32 v3, v2",2,8,0,0,""
2,6632,"v_mov_b32_e32 v8, v2",2,8,0,0,""
2,6636,"v_mov_b32_e32 v9, v2",2,8,0,0,""
2,6640,"s_waitcnt vmcnt(8)",2,380,380,0,""
2,6644,"ds_write2_b64 v17, v[4:5], v[6:7] offset1:1",2,40,0,4,""
2,6652,"s_waitcnt vmcnt(7)",2,1436,1436,0,""
2,6656,"ds_write2_b64 v15, v[28:29], v[30:31] offset1:1",2,40,0,0,""
2,6664,"s_waitcnt vmcnt(6)",2,200,200,0,""
2,6668,"ds_write2_b64 v18, v[32:33], v[34:35] offset1:1",2,40,0,0,""
2,6676,"s_waitcnt vmcnt(5)",2,492,492,0,""
2,6680,"ds_write2_b64 v19, v[36:37], v[38:39] offset1:1",2,40,0,0,""
2,6688,"s_waitcnt vmcnt(4)",2,20,20,0,""
2,6692,"ds_write2_b64 v20, v[40:41], v[42:43] offset1:1",2,40,0,0,""
2,6700,"s_waitcnt vmcnt(3)",2,508,508,0,""
2,6704,"ds_write2_b64 v21, v[44:45], v[46:47] offset1:1",2,40,0,0,""
2,6712,"s_waitcnt vmcnt(2)",2,112,112,0,""
2,6716,"ds_write2_b64 v22, v[48:49], v[50:51] offset1:1",2,40,0,0,""
2,6724,"s_waitcnt vmcnt(1)",2,592,592,0,""
2,6728,"ds_write2_b64 v23, v[52:53], v[54:55] offset1:1",2,40,0,0,""
2,6736,"s_waitcnt vmcnt(0)",2,224,224,0,""
2,6740,"ds_write2_b64 v24, v[56:57], v[58:59] offset1:1",2,40,0,0,""
2,6748,"v_add_u32_e32 v28, 0x1110, v12",2,8,0,0,""
2,6756,"v_mov_b32_e32 v4, v2",2,8,0,0,""
2,6760,"v_mov_b32_e32 v5, v2",2,8,0,0,""
2,6764,"v_mov_b32_e32 v6, v2",2,8,0,0,""
2,6768,"v_mov_b32_e32 v7, v2",2,8,0,0,""
2,6772,"v_add_u32_e32 v29, v16, v14",254,1016,0,4032,""
2,6776,"buffer_load_dwordx4 v[30:33], v29, s[12:15], 0 offen",254,1016,0,2032,""
2,6784,"v_add_u32_e32 v29, v11, v14",254,1016,0,0,""
2,6788,"v_add_u32_e32 v42, 0x40000, v29",254,1016,0,0,""
2,6796,"v_add_u32_e32 v50, 0x80000, v29",254,1016,0,0,""
2,6804,"v_add_u32_e32 v51, 0xc0000, v29",254,1016,0,0,""
2,6812,"v_add_u32_e32 v58, 0x100000, v29",254,1016,0,0,""
2,6820,"v_add_u32_e32 v59, 0x140000, v29",254,1016,0,0,""
2,6828,"v_add_u32_e32 v66, 0x180000, v29",254,1016,0,0,""
2,6836,"buffer_load_dwordx4 v[34:37], v29, s[4:7], 0 offen offset:256",254,1016,0,2032,""
2,6844,"buffer_load_dwordx4 v[38:41], v42, s[4:7], 0 offen offset:256",254,1016,0,0,""
2,6852,"s_nop 0",254,1016,1016,0,""
2,6856,"buffer_load_dwordx4 v[42:45], v50, s[4:7], 0 offen offset:256",254,1016,0,0,""
2,6864,"buffer_load_dwordx4 v[46:49], v51, s[4:7], 0 offen offset:256",254,1016,0,0,""
2,6872,"s_nop 0",254,1016,1016,0,""
2,6876,"buffer_load_dwordx4 v[50:53], v58, s[4:7], 0 offen offset:256",254,1016,0,0,""
2,6884,"buffer_load_dwordx4 v[54:57], v59, s[4:7], 0 offen offset:256",254,1016,0,0,""
2,6892,"v_add_u32_e32 v29, 0x1c0000, v29",254,1016,0,0,""
2,6900,"buffer_load_dwordx4 v[58:61], v66, s[4:7], 0 offen offset:256",254,1016,0,2032,""
2,6908,"buffer_load_dwordx4 v[62:65], v29, s[4:7], 0 offen offset:256",254,1016,0,0,""
2,6916,"s_waitcnt lgkmcnt(0)",254,1016,1016,0,""
2,6920,"s_barrier",254,117300,117300,0,""
2,6924,"ds_read2_b64 v[86:89], v13 offset1:1",254,1016,0,0,""
2,6932,"ds_read2_b64 v[90:93], v13 offset0:16 offset1:17",254,1016,0,0,""
2,6940,"ds_read2_b64 v[68:71], v12 offset0:2 offset1:3",254,1016,0,0,""
2,6948,"ds_read2_b64 v[94:97], v12 offset1:1",254,1016,0,0,""
2,6956,"ds_read2_b64 v[72:75], v12 offset0:18 offset1:19",254,1016,0,0,""
2,6964,"ds_read2_b64 v[98:101], v12 offset0:16 offset1:17",254,1016,0,0,""
2,6972,"ds_read2_b64 v[78:81], v26 offset1:1",254,1016,0,1016,""
2,6980,"ds_read2_b64 v[102:105], v25 offset1:1",254,1016,0,0,""
2,6988,"ds_read2_b64 v[82:85], v28 offset1:1",254,3556,2540,0,""
2,6996,"ds_read2_b64 v[106:109], v27 offset1:1",254,8128,7112,0,""
2,7004,"s_waitcnt lgkmcnt(6)",254,15748,15748,0,""
2,7008,"v_mov_b32_e32 v66, v94",254,1016,0,0,""
2,7012,"v_mov_b32_e32 v67, v68",254,1016,0,0,""
2,7016,"v_mov_b32_e32 v68, v95",254,1016,0,0,""
2,7020,"s_waitcnt lgkmcnt(2)",254,13208,13208,0,""
2,7024,"v_mov_b32_e32 v76, v102",254,1016,0,0,""
2,7028,"v_mov_b32_e32 v77, v78",254,1016,0,0,""
2,7032,"v_mov_b32_e32 v78, v103",254,1016,0,0,""
2,7036,"v_smfmac_f32_16x16x32_f16 v[2:5], v[86:87], v[66:69], v10",254,1016,0,0,""
2,7044,"v_mov_b32_e32 v68, v96",254,2032,1016,0,""
2,7048,"v_mov_b32_e32 v69, v70",254,1016,0,0,""
2,7052,"v_mov_b32_e32 v70, v97",254,1016,0,0,""
2,7056,"v_smfmac_f32_16x16x32_f16 v[6:9], v[86:87], v[76:79], v10",254,1016,0,0,""
2,7064,"v_mov_b32_e32 v78, v104",254,2032,1016,0,""
2,7068,"v_mov_b32_e32 v79, v80",254,1016,0,0,""
2,7072,"v_mov_b32_e32 v80, v105",254,1016,0,0,""
2,7076,"v_smfmac_f32_16x16x32_f16 v[2:5], v[88:89], v[68:71], v10",254,1016,0,0,""
2,7084,"v_mov_b32_e32 v70, v98",254,2032,1016,0,""
2,7088,"v_mov_b32_e32 v71, v72",254,1016,0,0,""
2,7092,"v_mov_b32_e32 v72, v99",254,1016,0,0,""
2,7096,"v_smfmac_f32_16x16x32_f16 v[6:9], v[88:89], v[78:81], v10",254,1016,0,0,""
2,7104,"s_waitcnt lgkmcnt(0)",254,1016,1016,0,""
2,7108,"v_mov_b32_e32 v80, v106",254,1016,0,0,""
2,7112,"v_mov_b32_e32 v81, v82",254,1016,0,0,""
2,7116,"v_mov_b32_e32 v82, v107",254,1016,0,0,""
2,7120,"v_smfmac_f32_16x16x32_f16 v[2:5], v[90:91], v[70:73], v10",254,1016,0,0,""
2,7128,"v_mov_b32_e32 v72, v100",254,2032,1016,0,""
2,7132,"v_mov_b32_e32 v73, v74",254,1016,0,0,""
2,7136,"v_mov_b32_e32 v74, v101",254,1016,0,0,""
2,7140,"v_smfmac_f32_16x16x32_f16 v[6:9], v[90:91], v[80:83], v10",254,1016,0,0,""
2,7148,"v_mov_b32_e32 v82, v108",254,2032,1016,0,""
2,7152,"v_mov_b32_e32 v83, v84",254,1016,0,0,""
2,7156,"v_mov_b32_e32 v84, v109",254,1016,0,0,""
2,7160,"v_smfmac_f32_16x16x32_f16 v[2:5], v[92:93], v[72:75], v10",254,1016,0,0,""
2,7168,"s_barrier",254,2032,2032,0,""
2,7172,"v_smfmac_f32_16x16x32_f16 v[6:9], v[92:93], v[82:85], v10",254,2032,1016,0,""
2,7180,"s_add_i32 s2, s2, 2",254,1016,0,0,""
2,7184,"v_add_u32_e32 v11, 0x100, v11",254,1016,0,0,""
2,7192,"s_cmpk_lt_u32 s2, 0xfc",254,1016,0,0,""
2,7196,"v_add_u32_e32 v16, 0x100, v16",254,1016,0,0,""
2,7204,"s_waitcnt vmcnt(8)",254,63948,63948,0,""
2,7208,"ds_write2_b64 v17, v[30:31], v[32:33] offset1:1",254,4740,0,528,""
2,7216,"s_waitcnt vmcnt(7)",254,60576,60576,0,""
2,7220,"ds_write2_b64 v15, v[34:35], v[36:37] offset1:1",254,4740,0,0,""
2,7228,"s_waitcnt vmcnt(6)",254,11796,11796,0,""
2,7232,"ds_write2_b64 v18, v[38:39], v[40:41] offset1:1",254,5232,496,0,""
2,7240,"s_waitcnt vmcnt(5)",254,7724,7724,0,""
2,7244,"ds_write2_b64 v19, v[42:43], v[44:45] offset1:1",254,5276,536,0,""
2,7252,"s_waitcnt vmcnt(4)",254,8648,8648,0,""
2,7256,"ds_write2_b64 v20, v[46:47], v[48:49] offset1:1",254,5116,376,0,""
2,7264,"s_waitcnt vmcnt(3)",254,11004,11004,0,""
2,7268,"ds_write2_b64 v21, v[50:51], v[52:53] offset1:1",254,5172,432,0,""
2,7276,"s_waitcnt vmcnt(2)",254,14616,14616,0,""
2,7280,"ds_write2_b64 v22, v[54:55], v[56:57] offset1:1",254,5060,320,0,""
2,7288,"s_waitcnt vmcnt(1)",254,12052,12052,0,""
2,7292,"ds_write2_b64 v23, v[58:59], v[60:61] offset1:1",254,5188,448,0,""
2,7300,"s_waitcnt vmcnt(0)",254,12108,12108,0,""
2,7304,"ds_write2_b64 v24, v[62:63], v[64:65] offset1:1",254,5120,380,0,""
2,7312,"s_cbranch_scc1 65400",254,1016,0,340,""
2,7316,"s_waitcnt lgkmcnt(0)",2,132,132,0,""
2,7320,"s_barrier",2,188,188,0,""
2,7324,"ds_read2_b64 v[32:35], v13 offset1:1",2,8,0,0,""
2,7332,"ds_read2_b64 v[36:39], v13 offset0:16 offset1:17",2,8,0,0,""
2,7340,"ds_read2_b64 v[14:17], v12 offset0:2 offset1:3",2,8,0,0,""
2,7348,"ds_read2_b64 v[40:43], v12 offset1:1",2,8,0,0,""
2,7356,"ds_read2_b64 v[18:21], v12 offset0:18 offset1:19",2,8,0,8,""
2,7364,"ds_read2_b64 v[44:47], v12 offset0:16 offset1:17",2,8,0,0,""
2,7372,"v_add_u32_e32 v13, 0x1090, v12",2,8,0,0,""
2,7380,"v_add_u32_e32 v11, 0x1080, v12",2,8,0,0,""
2,7388,"ds_read2_b64 v[24:27], v13 offset1:1",2,8,0,16,""
2,7396,"ds_read2_b64 v[48:51], v11 offset1:1",2,8,0,0,""
2,7404,"v_add_u32_e32 v11, 0x1100, v12",2,8,0,0,""
2,7412,"v_add_u32_e32 v12, 0x1110, v12",2,8,0,0,""
2,7420,"ds_read2_b64 v[28:31], v12 offset1:1",2,8,0,16,""
2,7428,"ds_read2_b64 v[52:55], v11 offset1:1",2,20,12,0,""
2,7436,"s_waitcnt lgkmcnt(6)",2,124,124,0,""
2,7440,"v_mov_b32_e32 v12, v40",2,8,0,0,""
2,7444,"v_mov_b32_e32 v13, v14",2,8,0,0,""
2,7448,"v_mov_b32_e32 v14, v41",2,8,0,0,""
2,7452,"s_waitcnt lgkmcnt(2)",2,104,104,0,""
2,7456,"v_mov_b32_e32 v22, v48",2,8,0,0,""
2,7460,"v_mov_b32_e32 v23, v24",2,8,0,0,""
2,7464,"v_smfmac_f32_16x16x32_f16 v[2:5], v[32:33], v[12:15], v10",2,8,0,0,""
2,7472,"v_mov_b32_e32 v24, v49",2,16,8,0,""
2,7476,"v_mov_b32_e32 v14, v42",2,8,0,0,""
2,7480,"v_mov_b32_e32 v15, v16",2,8,0,0,""
2,7484,"v_smfmac_f32_16x16x32_f16 v[6:9], v[32:33], v[22:25], v10",2,8,0,0,""
2,7492,"v_mov_b32_e32 v16, v43",2,16,8,0,""
2,7496,"v_mov_b32_e32 v24, v50",2,8,0,0,""
2,7500,"v_mov_b32_e32 v25, v26",2,8,0,0,""
2,7504,"v_smfmac_f32_16x16x32_f16 v[2:5], v[34:35], v[14:17], v10",2,8,0,0,""
2,7512,"v_mov_b32_e32 v26, v51",2,16,8,0,""
2,7516,"v_mov_b32_e32 v16, v44",2,8,0,0,""
2,7520,"v_mov_b32_e32 v17, v18",2,8,0,0,""
2,7524,"v_smfmac_f32_16x16x32_f16 v[6:9], v[34:35], v[24:27], v10",2,8,0,0,""
2,7532,"v_mov_b32_e32 v18, v45",2,16,8,0,""
2,7536,"s_waitcnt lgkmcnt(0)",2,8,8,0,""
2,7540,"v_mov_b32_e32 v26, v52",2,8,0,0,""
2,7544,"v_mov_b32_e32 v27, v28",2,8,0,0,""
2,7548,"v_smfmac_f32_16x16x32_f16 v[2:5], v[36:37], v[16:19], v10",2,8,0,0,""
2,7556,"v_mov_b32_e32 v28, v53",2,16,8,0,""
2,7560,"v_mov_b32_e32 v18, v46",2,8,0,0,""
2,7564,"v_mov_b32_e32 v19, v20",2,8,0,0,""
2,7568,"v_smfmac_f32_16x16x32_f16 v[6:9], v[36:37], v[26:29], v10",2,8,0,0,""
2,7576,"v_mov_b32_e32 v20, v47",2,16,8,0,""
2,7580,"v_mov_b32_e32 v28, v54",2,8,0,0,""
2,7584,"v_mov_b32_e32 v29, v30",2,8,0,0,""
2,7588,"v_smfmac_f32_16x16x32_f16 v[2:5], v[38:39], v[18:21], v10",2,8,0,0,""
2,7596,"v_mov_b32_e32 v30, v55",2,16,8,0,""
2,7600,"v_or_b32_e32 v0, s8, v0",2,8,0,0,""
2,7604,"v_mul_u32_u24_e32 v1, 0x1a000, v1",2,8,0,0,""
2,7612,"v_smfmac_f32_16x16x32_f16 v[6:9], v[38:39], v[28:31], v10",2,8,0,0,""
2,7620,"s_and_b32 s1, s1, 0xffff",2,8,0,0,""
2,7628,"s_nop 1",2,16,16,0,""
2,7632,"v_mov_b32_e32 v10, v2",2,8,0,0,""
2,7636,"v_mov_b32_e32 v11, v4",2,8,0,0,""
2,7640,"v_mov_b32_e32 v4, v3",2,8,0,0,""
2,7644,"s_mov_b32 s3, 0x27000",2,8,0,0,""
2,7652,"s_mov_b32 s2, 0x68000",2,8,0,0,""
2,7660,"v_pk_add_f32 v[2:3], v[10:11], v[4:5]",2,8,0,0,""
2,7668,"v_mov_b32_e32 v4, v6",2,8,0,0,""
2,7672,"v_mov_b32_e32 v5, v8",2,8,0,0,""
2,7676,"v_mov_b32_e32 v8, v7",2,8,0,0,""
2,7680,"v_lshl_add_u32 v0, v0, 2, v1",2,8,0,0,""
2,7688,"v_pk_add_f32 v[4:5], v[4:5], v[8:9]",2,8,0,0,""
2,7696,"buffer_store_dword v2, v0, s[0:3], 0 offen",2,32,24,16,""
2,7704,"buffer_store_dword v4, v0, s[0:3], 0 offen offset:64",2,8,0,0,""
2,7712,"v_add_u32_e32 v0, 0xd000, v0",2,8,0,0,""
2,7720,"buffer_store_dword v3, v0, s[0:3], 0 offen",2,8,0,16,""
2,7728,"buffer_store_dword v5, v0, s[0:3], 0 offen offset:64",2,8,0,0,""
2,7736,"s_barrier",2,24,24,0,""
2,7740,"s_endpgm",2,684,0,0,""
